"cnes","ano","categoria","te_bcc_leitos"
2079410,2016,"Direta",0.304206371946429
2079593,2016,"Filantrópico",0.546006988645043
2079615,2016,"Público Municipal",0.332939680232558
2079704,2016,"Filantrópico",0.286809247125726
2079720,2016,"OSS",0.381676728315239
2079798,2016,"Direta",0.861633947645599
2079828,2016,"OSS",0.726973866844863
2079836,2016,"Filantrópico",0.282901181709197
2079860,2016,"Filantrópico",0.371329217494793
2079895,2016,"Filantrópico",0.370675825607853
2079925,2016,"Filantrópico",0.399272232885477
2080028,2016,"Público Municipal",0.432374260567443
2080044,2016,"Filantrópico",0.253454017948766
2080052,2016,"Filantrópico",0.665828086390022
2080079,2016,"Direta",0.376567065698935
2080087,2016,"Filantrópico",0.274087275869518
2080095,2016,"Filantrópico",0.302953799545569
2080125,2016,"Filantrópico",1
2080192,2016,"Direta",0.0555688770690732
2080222,2016,"Filantrópico",0.180646557052788
2080273,2016,"OSS",0.578830914434421
2080281,2016,"Filantrópico",0.137953106050398
2080338,2016,"OSS",0.742031739829312
2080346,2016,"Público Municipal",0.521095103563457
2080354,2016,"Filantrópico",0.189800740658138
2080400,2016,"Filantrópico",0.591306194953281
2080427,2016,"Público Municipal",0.529123193054278
2080478,2016,"Filantrópico",0.0767388784234169
2080532,2016,"Filantrópico",0.273703719486439
2080575,2016,"Filantrópico",0.917658243618693
2080583,2016,"Público Municipal",0.513626178200718
2080664,2016,"Filantrópico",0.290910422505651
2080680,2016,"OSS",0.716920948398168
2080923,2016,"Filantrópico",0.305131785465892
2080931,2016,"Filantrópico",0.503965482326676
2080958,2016,"Filantrópico",0.172148278517215
2081059,2016,"Público Municipal",0.513355171401306
2081083,2016,"OSS",0.38496900802173
2081091,2016,"Público Municipal",0.410318330466343
2081105,2016,"Filantrópico",0.167088150289017
2081164,2016,"Filantrópico",0.445078362119624
2081253,2016,"Filantrópico",0.369975301106725
2081261,2016,"Filantrópico",0.338407227452171
2081350,2016,"Filantrópico",0.311766122292885
2081377,2016,"Filantrópico",0.479594773493843
2081458,2016,"Filantrópico",0.570263424477761
2081466,2016,"Filantrópico",0.131680980252721
2081482,2016,"Filantrópico",0.484984893536857
2081490,2016,"Público Municipal",0.624662739208512
2081512,2016,"Filantrópico",0.260398917828941
2081555,2016,"Filantrópico",0.321692470091485
2081695,2016,"Direta",0.531665612765684
2081725,2016,"Direta",0.139649604824178
2081814,2016,"Filantrópico",0.208372120297004
2081873,2016,"Filantrópico",0.318737693985137
2081970,2016,"Público Municipal",0.64904359387049
2082098,2016,"Filantrópico",0.434660908509277
2082128,2016,"Filantrópico",0.649236316570013
2082179,2016,"Filantrópico",0.0174501636417733
2082187,2016,"Filantrópico",1
2082225,2016,"Direta",0.480794214283881
2082276,2016,"Filantrópico",0.217940926218549
2082322,2016,"Filantrópico",0.391788689724817
2082349,2016,"Público Municipal",0.623550794686616
2082381,2016,"Público Municipal",0.515605862002278
2082454,2016,"Filantrópico",0.124750392091138
2082470,2016,"Filantrópico",0.0934028076823702
2082519,2016,"Filantrópico",0.263956079435988
2082527,2016,"Filantrópico",0.52168630959422
2082586,2016,"Filantrópico",0.268783651492903
2082594,2016,"Público Municipal",0.380501284424932
2082632,2016,"Filantrópico",0.254442933116297
2082640,2016,"Filantrópico",0.306073871997652
2082659,2016,"Filantrópico",0.0964041339482637
2082667,2016,"Filantrópico",0.265648227436205
2082675,2016,"Filantrópico",0.116215344938749
2082691,2016,"Filantrópico",0.28615133537818
2082721,2016,"Filantrópico",0.369276889534884
