etapa,cnes,nome_referencia,motivo,anos_removidos
ETAPA B,650587,HOSPITAL ESTADUAL DE CAMPANHA COVID 19 ITAPEVA,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,650595,HOSPITAL ESTADUAL COVID 19 AME BOTUCATU,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,665037,UPH ZONA NORTE UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,684651,UPA DO EDEN UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,694622,Hospital Estadual Covid 19 Metropolitano Santa Cecilia,mediana de leitos = 32.0 (corte: > 50),2
ETAPA B,792063,Uph Zona Leste Unidade De Atendimento De Sindrome Gripal,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,2023865,Hospital Municipal Dr Amadeu Pagliuso,mediana de leitos = 17.0 (corte: > 50),11
ETAPA B,2024438,Hospital E Maternidade Dra Adoniran Correia Campos Mongagua,mediana de leitos = 36.0 (corte: > 50),11
ETAPA B,2024772,Santa Casa De Misericordia Sao Jose,mediana de leitos = 32.0 (corte: > 50),9
ETAPA B,2035723,,mediana de leitos = 37.0 (corte: > 50),1
ETAPA B,2039001,Pronto Socorro Municipal De Suzano,mediana de leitos = 15.0 (corte: > 50),3
ETAPA B,2053500,Hospital Senhor Bom Jesus,mediana de leitos = 40.0 (corte: > 50),11
ETAPA B,2053519,Maternidade Fernando Magalhaes,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,2058243,Santa Casa De Misericordia De Sao Simao,mediana de leitos = 40.0 (corte: > 50),11
ETAPA B,2058340,Hospital Municipal De Queluz,mediana de leitos = 19.0 (corte: > 50),9
ETAPA B,2058405,Unidade Mista De Saude De Silveiras,mediana de leitos = 2.0 (corte: > 50),11
ETAPA B,2061562,,mediana de leitos = 14.0 (corte: > 50),3
ETAPA B,2072033,Unidade Mista De Saude De Embuguacu,mediana de leitos = 16.0 (corte: > 50),11
ETAPA B,2072513,Hospital E Maternidade Municipal Santa Ana,mediana de leitos = 45.0 (corte: > 50),11
ETAPA B,2076942,Hospital De Itatinga,mediana de leitos = 14.0 (corte: > 50),11
ETAPA B,2077078,Unidade Mista E Maternidade Central,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,2077124,Unidade Mista De Atendimento Infantil,mediana de leitos = 17.0 (corte: > 50),11
ETAPA B,2077515,Hospital Sao Vicente De Paula De Arandu,mediana de leitos = 6.0 (corte: > 50),8
ETAPA B,2077558,Hospital Sao Camilo Aguas De Lindoia,mediana de leitos = 42.0 (corte: > 50),11
ETAPA B,2077566,Hospital Municipal Da Mulher Dr Joao Luis J Rosseto,mediana de leitos = 36.0 (corte: > 50),4
ETAPA B,2077752,Hosp Monumento Cehm,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2077957,Centro De Referencia E Treinamento Dst Aids Sao Paulo,mediana de leitos = 46.0 (corte: > 50),11
ETAPA B,2078112,Hospital Santa Rita De Sales Oliveira,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,2078198,Unidade Mista De Santo Antonio Da Alegria,mediana de leitos = 12.0 (corte: > 50),11
ETAPA B,2078341,Associacao Hospital Beneficente Sagrado Coracao De Jesus,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2078422,Funbepe Pedreira,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2078449,Santa Casa De Patrocinio Paulista,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2078538,Hospital Nossa Senhora Aparecida,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2078546,Santa Casa Sao Bento Do Sapucai,mediana de leitos = 40.0 (corte: > 50),11
ETAPA B,2078805,,mediana de leitos = 8.0 (corte: > 50),1
ETAPA B,2078813,Hospital Oftalmologico De Sorocaba,mediana de leitos = 16.0 (corte: > 50),11
ETAPA B,2078902,Santa Casa Pilar Do Sul,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2078937,Santa Casa De Aparecida Doeste,mediana de leitos = 14.0 (corte: > 50),11
ETAPA B,2079003,,mediana de leitos = 20.0 (corte: > 50),3
